指数代码,指数简称,指数全称,发布日期,退市日期,指数行情,指数权重,指数成分
000001.XSHG,上证指数,上海证券交易所综合指数,1991-07-15,0000-00-00,有,有,有
000002.XSHG,A股指数,上海证券交易所Ａ股指数,1992-02-21,0000-00-00,有,有,有
000003.XSHG,B股指数,上海证券交易所Ｂ股指数,1992-08-17,0000-00-00,有,有,有
000004.XSHG,工业指数,上海证券交易所工业指数,1993-05-03,0000-00-00,有,有,有
000005.XSHG,商业指数,上海证券交易所商业指数,1993-05-03,0000-00-00,有,有,有
000006.XSHG,地产指数,上海证券交易所地产指数,1993-05-03,0000-00-00,有,有,有
000007.XSHG,公用指数,上海证券交易所公用指数,1993-05-03,0000-00-00,有,有,有
000008.XSHG,综合指数,上海证券交易所综合行业指数,1993-05-03,0000-00-00,有,有,有
399001.XSHE,深证成指,深证成份指数,1995-01-23,0000-00-00,有,有,有
399002.XSHE,成份Ａ指,深证成份全收益指数,1995-01-23,0000-00-00,有,有,有
399003.XSHE,成份B指,深证成份B股指数,1995-01-23,0000-00-00,有,,有
399106.XSHE,深证综指,深证综合指数,1991-04-04,0000-00-00,有,,有
399107.XSHE,深证Ａ指,深证A股指数,1992-10-04,0000-00-00,有,有,有
399108.XSHE,深证Ｂ指,深证B股指数,1992-10-06,0000-00-00,有,有,有
CEI.INDX,恒生中国企业指数,恒生中国企业指数,1994-08-08,0000-00-00,有,,
HSI.INDX,恒生指数,恒生指数,1969-11-24,0000-00-00,有,,
